title,published,KernAI_stock_news_distilbert,gigachat_score_only,deepseek_score
«Аэрофлот» отказался от создания джингла из-за неблагоприятного момента ,2014-09-09 10:31:22,-99.75468516349792,-25,0
Билеты на чартеры «Аэрофлота» станут доступнее,2014-09-09 19:40:33,96.42772078514099,80,40
Air France отменила рейсы в Москву из-за забастовки,2014-09-15 04:56:02,-99.81043338775635,25,-20
Суд предписал «Аэрофлоту» снижать цены на билеты при недозагрузке рейса,2014-09-15 14:45:04,-99.33144450187683,-50,-30
«Аэрофлот» создал новую компанию-лоукостер,2014-09-16 10:51:23,93.4341311454773,75,30
Опровержение,2014-09-17 01:44:26,0,0,0
Белоусов рассказал о ситуациях в Utair и «Трансаэро»,2014-09-29 15:05:54,0,Error_Evaluation_Gigachat,5
Жесткая посадка: четыре причины кризиса в российских авиакомпаниях,2014-09-30 14:08:22,0,-75,-40
В России заработал новый лоукостер «Аэрофлота»,2014-10-16 12:39:32,97.87715077400208,75,40
«Аэрофлот» возобновляет полеты в Днепропетровск с 1 декабря,2014-10-28 10:34:13,97.14653491973877,50,40
Новый лоукостер «Аэрофлота» перенес начало продаж билетов ,2014-10-31 15:32:32,0,-50,5
Новый лоукостер «Аэрофлота» запустил продажу билетов ,2014-11-11 18:01:09,0,50,50
Пассажиры задержанного в Лондоне рейса вылетят в Москву вечером,2014-11-21 19:30:21,0,50,0
Грузинский авиаперевозчик обвинил «Аэрофлот» в демпинге,2014-11-25 03:48:39,-99.84229803085327,-30,-20
«Аэрофлот» обжалует штрафы Украины на $8 млн за полеты в Крым,2014-12-15 11:17:52,-99.77520108222961,-50,-20
«Аэрофлот» и «Сибирь» просят правительство не спасать UTair,2015-01-22 08:31:03,-99.42715167999268,25,-20
В Шереметьево два самолета Airbus A320 задели друг друга крыльями,2015-03-28 14:54:38,0,-50,5
«Аэрофлот» отменил два рейса в Париж из-за забастовки во Франции,2015-04-07 15:26:44,-99.838387966156,-50,-20
В первом квартале авиаперевозки упали впервые за шесть лет,2015-04-22 19:09:52,-99.78517293930054,-80,-30
Четыре миллиона российских туристов попросили остаться дома,2015-05-24 18:31:58,-67.97339916229248,-50,-20
Из-за грозы в аэропортах Москвы было задержано или отменено 150 рейсов,2015-05-31 16:48:50,-99.63403940200806,-80,-20
«Аэрофлот» задумался о сокращении группы до премиум-компании и лоукостера,2015-06-16 17:32:02,-99.49712753295898,-50,20
Правительство рекомендовало «Аэрофлоту» субсидировать самого себя,2015-06-30 15:31:16,0,50,-20
«Аэрофлот» сообщил об увеличении числа дебоширов на своих рейсах,2015-07-02 12:08:26,91.95973873138428,-50,-20
Таможня заявила о вине пограничников в многочасовой пробке в Домодедово,2015-07-28 12:29:13,-99.80307221412659,-50,-10
Цены на авиабилеты за месяц выросли на 10%,2015-08-09 18:30:29,99.82813596725464,-75,5
«Аэрофлот» компенсирует пассажирам «Трансаэро» деньги за сданные билеты,2015-09-10 16:35:56,97.64618277549744,50,30
Греф допустил банкротство «Трансаэро»,2015-09-15 15:24:31,-95.59596180915833,-80,-30
Отложенные санкции: смогут ли авиакомпании из России летать на Украину,2015-09-17 17:47:07,0,Error_Evaluation_Gigachat,15
Лоукостер «Победа» решил начать полеты за границу в ноябре,2015-09-29 15:12:15,97.67118692398071,50,50
Правительство приняло решение о банкротстве «Трансаэро»,2015-10-01 16:05:52,-99.20796751976013,-85,-70
«Аэрофлот» разъяснил процедуру возврата денег за билеты «Трансаэро»,2015-10-02 16:00:02,0,25,5
«Трансаэро» будет возить туристов «Библио Глобуса» до 25 октября,2015-10-05 18:24:28,99.23422932624817,40,5
Банки потребуют от «Аэрофлота» отчета по «Трансаэро» под угрозой иска,2015-10-08 15:12:28,-99.7771680355072,-50,-30
«Аэрофлот» начал нанимать персонал из «Трансаэро»,2015-10-13 12:08:33,96.45513892173767,35,30
Путин пообещал поддержку «Аэрофлоту» из-за банкротства «Трансаэро»,2015-10-13 14:08:23,0,75,50
«Аэрофлот» получит около трети международных направлений «Трансаэро»,2015-10-21 15:47:11,98.82921576499939,50,50
ФАС заинтересовалась ценами «Аэрофлота» после ухода «Трансаэро»,2015-12-01 15:12:08,0,35,-30
«Аэрофлот» возобновит полеты в Стамбул в четверг,2016-06-29 09:40:02,0,50,50
«Аэрофлот» передал авиакомпании «Победа» бренд «Добролёт»,2016-12-27 09:55:43,-99.22946691513062,50,5
Профсоюз пилотов обвинил «Аэрофлот» в экономии на зарплатах сотрудников,2017-06-16 15:54:11,-99.84070658683777,-75,-40
